station_accuracy_right,17:22:37
motor_id,commanded,actual,diff
9,2563,2570,7
10,868,870,2
11,3119,3116,-3
12,1573,1565,-8
13,1925,1929,4
14,2183,2183,0
15,2075,2073,-2

station_accuracy_right,17:25:25
motor_id,commanded,actual,diff
9,2563,2572,9
10,868,871,3
11,3119,3125,6
12,1573,1559,-14
13,1925,1930,5
14,2183,2181,-2
15,2075,2073,-2

station_accuracy_right,17:28:31
motor_id,commanded,actual,diff
9,2563,2578,15
10,868,871,3
11,3119,3121,2
12,1573,1559,-14
13,1925,1929,4
14,2183,2181,-2
15,2075,2073,-2

station_accuracy_right,17:28:47
motor_id,commanded,actual,diff
9,2563,2574,11
10,868,871,3
11,3119,3121,2
12,1573,1558,-15
13,1925,1930,5
14,2183,2181,-2
15,2075,2073,-2

station_accuracy_right,17:29:58
motor_id,commanded,actual,diff
9,2563,2574,11
10,868,871,3
11,3119,3121,2
12,1573,1559,-14
13,1925,1929,4
14,2183,2181,-2
15,2075,2073,-2

station_accuracy_right,17:30:50
motor_id,commanded,actual,diff
9,2563,2574,11
10,868,871,3
11,3119,3125,6
12,1573,1559,-14
13,1925,1929,4
14,2183,2181,-2
15,2075,2073,-2

station_accuracy_right,17:32:16
motor_id,commanded,actual,diff
9,2563,2574,11
10,868,871,3
11,3119,3121,2
12,1573,1558,-15
13,1925,1929,4
14,2183,2181,-2
15,2075,2073,-2

station_accuracy_right,17:35:21
motor_id,commanded,actual,diff
9,2536,2554,18
10,1017,1016,-1
11,3078,3072,-6
12,1586,1573,-13
13,2075,2081,6
14,2183,2181,-2
15,3064,3068,4

station_accuracy_right,17:36:24
motor_id,commanded,actual,diff
9,2536,2552,16
10,1017,1017,0
11,3078,3074,-4
12,1586,1573,-13
13,2075,2078,3
14,2183,2181,-2
15,3064,3068,4

station_accuracy_right,17:36:52
motor_id,commanded,actual,diff
9,2536,2554,18
10,1017,1018,1
11,3078,3075,-3
12,1586,1573,-13
13,2075,2078,3
14,2183,2181,-2
15,3064,3068,4

station_accuracy_right,17:37:26
motor_id,commanded,actual,diff
9,2536,2553,17
10,1017,1018,1
11,3078,3073,-5
12,1586,1573,-13
13,2075,2078,3
14,2183,2181,-2
15,3064,3068,4

station_accuracy_left,17:38:46
motor_id,commanded,actual,diff
1,1451,1434,-17
2,1017,1024,7
3,1272,1268,-4
4,1584,1575,-9
5,1862,1860,-2
6,2142,2138,-4
7,2644,2641,-3

station_accuracy_left,17:39:24
motor_id,commanded,actual,diff
1,1451,1440,-11
2,1017,1024,7
3,1272,1268,-4
4,1584,1575,-9
5,1862,1860,-2
6,2142,2140,-2
7,2644,2641,-3

station_accuracy_left,17:39:48
motor_id,commanded,actual,diff
1,1451,1434,-17
2,1017,1024,7
3,1272,1268,-4
4,1584,1575,-9
5,1862,1860,-2
6,2142,2138,-4
7,2644,2641,-3

station_accuracy_left,17:40:09
motor_id,commanded,actual,diff
1,1451,1434,-17
2,1017,1024,7
3,1272,1268,-4
4,1584,1575,-9
5,1862,1860,-2
6,2142,2139,-3
7,2644,2641,-3

station_accuracy_left,17:41:19
motor_id,commanded,actual,diff
1,1437,1416,-21
2,1153,1146,-7
3,1275,1271,-4
4,1580,1570,-10
5,1790,1792,2
6,2183,2178,-5
7,2631,2630,-1

station_accuracy_left,17:41:39
motor_id,commanded,actual,diff
1,1451,1434,-17
2,1017,1024,7
3,1272,1268,-4
4,1584,1575,-9
5,1862,1860,-2
6,2142,2138,-4
7,2644,2641,-3

station_accuracy_left,17:42:00
motor_id,commanded,actual,diff
1,1437,1422,-15
2,1153,1146,-7
3,1275,1271,-4
4,1580,1570,-10
5,1790,1793,3
6,2183,2178,-5
7,2631,2628,-3

station_accuracy_left,17:42:24
motor_id,commanded,actual,diff
1,1437,1416,-21
2,1153,1146,-7
3,1275,1271,-4
4,1580,1570,-10
5,1790,1793,3
6,2183,2175,-8
7,2631,2628,-3

station_accuracy_left,17:42:52
motor_id,commanded,actual,diff
1,1437,1422,-15
2,1153,1146,-7
3,1275,1271,-4
4,1580,1570,-10
5,1790,1792,2
6,2183,2176,-7
7,2631,2628,-3

station_accuracy_left,12:16:06
motor_id,commanded,actual,diff
1,1451,1428,-23
2,1010,1017,7
3,1276,1274,-2
4,1593,1582,-11
5,1864,1863,-1
6,2129,2125,-4
7,2658,2655,-3

station_accuracy_left,12:17:21
motor_id,commanded,actual,diff
1,1451,1428,-23
2,1010,1015,5
3,1276,1274,-2
4,1593,1581,-12
5,1864,1866,2
6,2129,2125,-4
7,2658,2655,-3

